2018-10-09 16:09:40,996 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:09:40,997 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:09:41,056 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:09:41,057 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:09:41,057 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:09:41,058 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:09:45,683 [Worker-79] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-10-09 16:09:45,864 [Worker-79] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yangrui:banner:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\banner\pom.xml.
2018-10-09 16:09:45,921 [Worker-79] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yangrui:microblog:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\microblog\pom.xml.
2018-10-09 16:09:45,948 [Worker-79] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.yangrui:parent:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\parent\pom.xml.
2018-10-09 16:09:46,049 [Worker-79] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /banner/src/main/java
2018-10-09 16:09:46,049 [Worker-79] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /banner/src/main/resources
